證券代號,發行股數
6142,101100000.0
6152,0.0
6153,88826433.0
6155,0.0
6164,0.0
6165,0.0
6166,14707559.0
6168,0.0
6176,0.0
6177,0.0
6183,0.0
6184,0.0
6189,0.0
6191,0.0
6192,0.0
6196,0.0
6197,0.0
6201,0.0
6202,4220000.0
6205,0.0
6206,0.0
6209,0.0
6213,0.0
6214,0.0
6215,0.0
6216,0.0
6224,0.0
6225,20825395.0
6226,0.0
6230,0.0
6235,0.0
6239,0.0
6243,8000000.0
6257,0.0
6269,0.0
6271,0.0
6272,0.0
6277,0.0
6278,0.0
6281,0.0
6282,0.0
6283,66453000.0
6285,0.0
6405,0.0
6409,0.0
6412,0.0
6414,0.0
6415,0.0
6416,0.0
6426,0.0
6431,46956000.0
6438,0.0
6442,0.0
6443,0.0
6446,0.0
6449,0.0
6451,0.0
6456,0.0
6464,0.0
6472,0.0
6477,0.0
6491,0.0
6504,0.0
6505,0.0
6515,0.0
6525,0.0
6526,0.0
6531,0.0
6533,0.0
6534,0.0
6541,0.0
6550,396484666.0
6552,0.0
6558,7300000.0
6573,0.0
6579,0.0
6581,0.0
6582,0.0
6585,0.0
6589,55000000.0
6591,0.0
6592,0.0
6598,0.0
6605,0.0
6606,0.0
6614,0.0
6625,0.0
6641,0.0
6645,0.0
6655,0.0
6657,0.0
6658,0.0
6666,0.0
6668,27285000.0
6669,0.0
6670,0.0
6671,0.0
6672,0.0
6674,0.0
6689,0.0
6691,0.0
6695,10000000.0
6698,0.0
6706,0.0
6715,0.0
6719,21000000.0
6722,0.0
6742,0.0
6743,0.0
6753,0.0
6754,0.0
6756,0.0
6757,0.0
6768,0.0
6770,0.0
6771,0.0
6776,0.0
6781,0.0
6782,0.0
6789,0.0
6790,0.0
6792,0.0
6794,15200000.0
6796,0.0
6799,0.0
6805,0.0
6806,0.0
6807,0.0
6830,0.0
6831,0.0
6834,0.0
6835,0.0
6838,0.0
6854,0.0
6861,0.0
6862,0.0
6863,0.0
6869,0.0
6873,4284654.0
6885,0.0
6887,0.0
6890,0.0
6901,0.0
6902,0.0
6906,0.0
6908,0.0
6909,0.0
6914,0.0
6916,0.0
6918,0.0
6919,0.0
6921,0.0
